Attraction,Region,County,District,CRU,Postcode,Category,Visitors_2018,Visitors_2019,Visitors_2020,Visitors_2021,Visitors_2022,Visitors_2023,Estimate?,Visitor admission brackets,% change in admissions 2022 to 2023,% change in admissions 2019 to 2023,Charging,Charge band
Flamborough Cliffs Nature Reserves,Y&H,North Yorkshire,York,Coastal,YO2 1GN,Nature Reserve / Wetlands / Wildlife Trips,Not available,Not available,Not available,Not available,Not available,Not available,,Not available,Not available,Not available,No,Not Applicable
Herne Bay Pier Trust,South East,Kent,Canterbury,Coastal,CT6 5JN,Heritage / Visitor Centre,Not available,Not available,Not available,Not available,Not available,Not available,,Not available,Not available,Not available,No,Not Applicable
Miller's Dale Nature Reserve,East Midlands,Derbyshire,Derbyshire Dales,Rural,DE56 1XH,Nature Reserve / Wetlands / Wildlife Trips,Not available,Not available,Not available,Not available,Not available,Not available,,Not available,Not available,Not available,No,Not Applicable
Sandal Castle,Y&H,West Yorkshire,Wakefield,Rural,WF1 2EB,Castle / Fort,Not available,Not available,Not available,Not available,Not available,Not available,,Not available,Not available,Not available,No,Not Applicable
Swanage Railway,South West,Dorset,Purbeck,Rural,BH19 1HB,Steam  / Heritage Railway,Not available,Not available,Not available,Not available,Not available,170000,Exact,"100,001-200,000",Not available,Not available,Yes,£15 or Over
Nottingham Castle,East Midlands,Nottinghamshire,Nottingham City,Urban,NG1 6EL,Castle / Fort,Not available,Not available,Not available,Not available,Not available,147487,Exact,"100,001-200,000",Not available,Not available,Yes,£10.00-£14.99
Wentworth Castle Gardens,Y&H,South Yorkshire,Stainsborough,Rural,,Garden,Not available,Not available,Not available,Not available,Not available,119948,Exact,"100,001-200,000",Not available,Not available,Yes,£5.00-£7.49
Victoria Art Gallery,South West,Somerset,Bath and North East Somerset,Urban,BA2 4AT,Museum and/or Art Gallery,Not available,Not available,Not available,Not available,Not available,59883,Exact,"50,001-100,000",Not available,Not available,Yes,£5.00-£7.49
Coton Manor Gardens,East Midlands,Northamptonshire,Daventry,Rural,NN6 8RQ,Garden,Not available,Not available,Not available,Not available,Not available,30000,,"20,001-50,000",Not available,Not available,Yes,£10.00-£14.99
Allan Bank,North West,Cumbria,Westmorland & Furness,Rural,,Country Park,Not available,Not available,Not available,Not available,Not available,22333,Exact,"20,001-50,000",Not available,Not available,Yes,Not available
Lincoln St. Mary Magdalene,East Midlands,Lincolnshire,Lincoln,Urban,LN2 1RJ,Place of Worship (still in use),Not available,Not available,Not available,Not available,Not available,21814,Exact,"20,001-50,000",Not available,Not available,No,Not Applicable
The National Poo Museum,South East,Isle of Wight,Isle of Wight,Coastal,PO36 8NP,Museum and/or Art Gallery,Not available,Not available,Not available,Not available,Not available,18000,An Estimate,"10,001 to 20,000",Not available,Not available,Yes,£3.00- £4.99
